"","FIPS","Date","MMWR_week","Recip_County","Recip_State","Completeness_pct","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Booster_Doses","Booster_Doses_Vax_Pct","Census2019","date_updated","county","state","total_population","health_service_area_number","health_service_area","covid_inpatient_bed_utilization","covid_hospital_admissions_per_100k","covid_cases_per_100k","covid.19_community_level"
"1",1001,2022-03-31,13,"Autauga County","AL",92.4,30901,55.3,24510,43.9,7875,32.1,55869,2022-03-24,"Autauga County, AL","Alabama",55869,171,"Montgomery (Montgomery), AL - Autauga, AL","1.6%",3.9,37.59,"Low"
"2",1003,2022-03-31,13,"Baldwin County","AL",92.4,142840,64,112702,50.5,39152,34.7,223234,2022-03-24,"Baldwin County, AL","Alabama",223234,161,"Mobile (Mobile), AL - Baldwin, AL","0.7%",1.7,62.71,"Low"
"3",1005,2022-03-31,13,"Barbour County","AL",92.4,13678,55.4,11128,45.1,3637,32.7,24686,2022-03-24,"Barbour County, AL","Alabama",24686,162,"Houston (Dothan), AL - Dale, AL","2.2%",2.9,44.56,"Low"
"4",1007,2022-03-31,13,"Bibb County","AL",92.4,9498,42.4,7754,34.6,2654,34.2,22394,2022-03-24,"Bibb County, AL","Alabama",22394,150,"Jefferson (Birmingham), AL - Shelby, AL","1.4%",3.4,26.79,"Low"
"5",1009,2022-03-31,13,"Blount County","AL",92.4,22074,38.2,18241,31.5,5975,32.8,57826,2022-03-24,"Blount County, AL","Alabama",57826,150,"Jefferson (Birmingham), AL - Shelby, AL","1.4%",3.4,19.02,"Low"
"6",1011,2022-03-31,13,"Bullock County","AL",92.4,6765,67,5370,53.2,1669,31.1,10101,2022-03-24,"Bullock County, AL","Alabama",10101,171,"Montgomery (Montgomery), AL - Autauga, AL","1.6%",3.9,9.9,"Low"
"7",1013,2022-03-31,13,"Butler County","AL",92.4,9624,49.5,7640,39.3,2429,31.8,19448,2022-03-24,"Butler County, AL","Alabama",19448,259,"Butler, AL","0.0%",0,5.14,"Low"
"8",1015,2022-03-31,13,"Calhoun County","AL",92.4,64797,57,53015,46.7,18660,35.2,113605,2022-03-24,"Calhoun County, AL","Alabama",113605,177,"Calhoun (Anniston), AL - Carroll, GA","0.6%",6.1,13.2,"Low"
"9",1017,2022-03-31,13,"Chambers County","AL",92.4,12505,37.6,10398,31.3,3752,36.1,33254,2022-03-24,"Chambers County, AL","Alabama",33254,172,"Coweta, GA - Troup (La Grange), GA","2.2%",4.2,45.11,"Low"
"10",1019,2022-03-31,13,"Cherokee County","AL",92.4,9856,37.6,7990,30.5,3019,37.8,26196,2022-03-24,"Cherokee County, AL","Alabama",26196,224,"Etowah (Gadsden), AL - Marshall, AL","1.1%",1.3,7.63,"Low"
"11",1021,2022-03-31,13,"Chilton County","AL",92.4,19599,44.1,16076,36.2,5156,32.1,44428,2022-03-24,"Chilton County, AL","Alabama",44428,150,"Jefferson (Birmingham), AL - Shelby, AL","1.4%",3.4,231.84,"Medium"
"12",1023,2022-03-31,13,"Choctaw County","AL",92.4,10272,81.6,8285,65.8,2957,35.7,12589,2022-03-24,"Choctaw County, AL","Alabama",12589,412,"Lauderdale, MS - Neshoba, MS","1.9%",1.1,7.94,"Low"
"13",1025,2022-03-31,13,"Clarke County","AL",92.4,14824,62.8,12029,50.9,4239,35.2,23622,2022-03-24,"Clarke County, AL","Alabama",23622,161,"Mobile (Mobile), AL - Baldwin, AL","0.7%",1.7,21.17,"Low"
"14",1027,2022-03-31,13,"Clay County","AL",92.4,6656,50.3,5490,41.5,1622,29.5,13235,2022-03-24,"Clay County, AL","Alabama",13235,241,"Talladega, AL - Clay, AL","0.1%",0,15.11,"Low"
"15",1029,2022-03-31,13,"Cleburne County","AL",92.4,5111,34.3,4273,28.7,1447,33.9,14910,2022-03-24,"Cleburne County, AL","Alabama",14910,177,"Calhoun (Anniston), AL - Carroll, GA","0.6%",6.1,13.41,"Low"
"16",1031,2022-03-31,13,"Coffee County","AL",92.4,30623,58.5,24597,47,6630,27,52342,2022-03-24,"Coffee County, AL","Alabama",52342,162,"Houston (Dothan), AL - Dale, AL","2.2%",2.9,5.73,"Low"
"17",1033,2022-03-31,13,"Colbert County","AL",92.4,31421,56.9,26435,47.9,9595,36.3,55241,2022-03-24,"Colbert County, AL","Alabama",55241,219,"Lauderdale (Florence), AL - Colbert, AL","1.3%",4.9,34.39,"Low"
"18",1035,2022-03-31,13,"Conecuh County","AL",92.4,6841,56.7,5247,43.5,1581,30.1,12067,2022-03-24,"Conecuh County, AL","Alabama",12067,163,"Escambia (Pensacola), FL - Okaloosa, FL","1.5%",4.8,58.01,"Low"
